Temp: 25.85 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 34.58 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 34.68 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 34.66 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 34.93 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 34.95 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 34.95 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 35.25 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 35.37 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 35.27 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 35.35 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 35.49 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 35.62 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 35.74 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 35.77 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 35.87 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 35.97 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 36.14 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 36.12 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 36.17 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 36.42 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 36.52 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 36.97 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 36.97 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 36.97 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 36.97 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 37.02 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 37.07 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 37.07 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 37.18 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 37.28 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 37.35 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 37.61 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 37.61 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 37.69 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 37.69 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 37.79 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 37.94 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 37.89 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 37.89 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 38.18 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 37.94 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 38.18 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 38.18 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 38.44 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 38.31 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 38.41 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 38.41 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 38.46 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 38.52 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 38.67 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 38.70 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 38.72 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 38.93 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 38.91 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.01 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.01 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.04 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.01 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.20 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.09 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.28 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.14 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.38 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.25 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.67 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.41 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.54 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.54 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.67 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.70 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.83 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.59 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.86 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.81 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.86 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.86 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.02 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.05 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.21 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.97 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.02 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.29 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.21 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 39.99 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.29 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.10 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.21 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.18 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.32 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.29 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.42 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.32 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.37 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.56 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.34 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.42 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.34 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.64 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.45 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.72 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.51 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.48 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.67 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.45 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.78 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.69 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.53 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.51 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.72 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.67 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.59 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.72 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.64 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.75 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.72 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.72 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.86 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.75 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.97 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.86 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.80 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.99 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.78 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.02 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.80 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.08 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.89 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.02 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.97 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.78 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.16 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.86 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.89 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.91 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.91 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.19 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.91 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.08 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.21 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.13 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.19 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.13 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.86 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.02 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.99 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.13 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.16 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.35 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.19 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.32 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.21 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.21 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.19 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.19 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.21 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.13 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.27 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.19 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.46 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.19 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.21 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.19 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 40.99 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.16 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.46 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.43 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.46 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.21 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.13 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.30 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.19 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.24 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.35 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.30 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.43 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.54 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.41 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.30 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.35 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.32 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.43 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.27 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.21 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.35 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.41 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.60 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.41 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.54 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.41 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.46 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.60 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.52 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.52 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.21 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.60 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.60 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.49 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.54 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.63 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.60 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.49 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.52 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.60 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.57 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.60 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.57 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.65 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.76 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.60 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.60 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.60 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.60 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.60 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.54 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.41 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.21 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.57 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.57 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.52 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.65 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.65 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.49 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.46 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.52 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.52 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.52 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.43 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.46 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.74 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.60 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.60 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.54 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.60 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.54 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.60 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.60 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.52 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.60 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.60 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
Temp: 41.60 C | Vazao: 0.00 L/min | Cooler: 0% | Resistencia: ON
